,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18,Cw*30
B*42,-0.35589810582226711,-0.26739620854233381,-0.36294264716927277,-0.41619307338896833,-0.51773335236897733,-0.74007346337867175, 0.40078240860059755, 0.66706037470357193,-0.41780427682564836,-0.090893109715807704,-0.24733865580906367,-0.36421632462213366,  2.7511322103972491,-0.023627993967021737,-0.014857782091251404
B*44,-0.90046927764934603,  0.9410436390743705,-0.81111851483553343,  1.5703915932054133,  3.8874943634418053, -2.0279826565916883,0.088083894478638097,-0.27696570080105354, -1.7688333391384519,-0.15919027459965707, -1.3569933794938163,  2.9753172297566093,-0.82342342937750979,-0.86566688602643727,-0.47168726144333972
B*45,-0.74084125819145574, -0.6133439015093457,-0.76787217086218185, -0.8360632921194755, 0.91645422362958884,  3.0785717709697833, -1.3608073997436174,-0.40123230222072365,-0.82492138488450573,-0.23519553976902896,-0.59678713996612354,  2.7312686399132087,-0.24264864295651181,-0.069515543635677746,-0.037066058653934308
B*46, 0.84562014716627432,-0.056908198103888127,-0.13058368385840904,-0.055336323057538502,-0.074735586698310222,-0.10350650580743571,-0.24269748208246206,-0.027360274873260978,-0.074250873845134041,-0.014530164408204208,-0.026135302289158387,-0.025206685597695396,-0.011482809299135933,-0.0015815355006882344,-0.0013047217449533254
B*47,-0.39839709308413074, -0.3990270056479403,-0.052526804418978355,-0.41972544152420871,-0.32353818594553602,  3.7605706463864226,-0.78427900213601442,-0.14108172708011019,-0.50203517030645706,-0.085895952205753884,-0.21927689574798204,-0.23837499574729085,-0.10754910402672123,-0.072127860962431636,-0.016735407552868137
B*48,-0.34414273810283191,-0.37905909261340276,-0.54311815613449033, 0.28448809386336932, -0.2803919042426597,-0.51624013460716978, -1.0801191047995913,  4.0374108199714005,-0.48838068040721722, -0.0759224942598134,-0.30923875324218408,-0.18218815735385616,-0.069706650130645365,-0.035024567722076683,-0.018366480218829501
B*49,-0.58714339517765357,-0.52206609598943776,-0.74265237095537207,-0.85104311265528076,-0.61607408987721191, 0.14930059723621428,  4.2981875456759804,-0.31866011791740406, 0.66213494410383411,-0.17140855639309846,-0.56564211235932149,-0.42641230201567021, -0.2177007243699062,-0.058325749640932137,-0.032494459664744568
B*50,-0.47366328828737919,-0.47672687077923875,-0.76793383015544336,  1.0280965834600109,-0.32329341859544963,   3.677861619132913, -1.2580731756906991,-0.55582415461111789,-0.53579789994204097,-0.32897155239906484,  0.2642924353342691,-0.60851353857333801,-0.33659353390411312, 0.75318207001675386,-0.058041445006061843
B*51,   1.085333276029492,  1.0926693998096058, -1.2092490007752044, 0.19738716175639992,-0.36054387141265204, -2.2555788912677035, -1.5378996931157238, -1.8361555570838439,-0.84158423157695395,  3.5341545978295286,  2.8103395785333185,  1.6264759651246186, -1.4105268910016522,-0.37889934326621105,-0.51592249958302083
B*52,-0.87826106497902523,-0.30022442162205132, -0.3166555174965226, -0.6052722971509823,-0.28030321806187464,-0.99469615460108141, -1.0444252358592778,-0.43548604832851762,  4.0168391084820687,-0.23929364936178205, 0.32186111450730676,  1.2199257319441803,-0.30374587070572917,   -0.10682096572124,-0.053441511045469507
B*53,  0.1040751442136317,-0.50395034635200764,-0.71268075406733322,  4.3440276618526408,-0.42274881824339061,0.075210160152745176,  -1.340534583673455,-0.29903463958016363, 0.28578413859294349,-0.16251937078392226,-0.59997841010596642,-0.45088276038617248, -0.1835723068802223, -0.1010078530145004,-0.032187261724822488
B*54, 0.79486836988649345,-0.11811178869301621,-0.12997170736384972,-0.060471836492272564,-0.028347358754018077,-0.077150716969170058,-0.081174958866744265,-0.094981688666192346,-0.077409359973651407,-0.013311503943521511,-0.024801158415449845,-0.054532306173420531,-0.027077143358880063,-0.004728145595527109,-0.0027986966207799238
B*55,  1.7058000429817382,-0.84463901413638265,  4.1849388552318514,  -0.547891875383821, 0.15125285393931404, -1.0867228396243118, -1.6966253915360716,-0.56493520000484931, -1.0332747507871589,-0.31356701116459867, 0.10712945679335414,-0.26165387169986887,-0.39253366308380244,-0.14154619718669909,  0.7342686056613108
B*56,  4.0037529111497312,-0.51296617612517348,0.061394378535559409,-0.64921450729754915,-0.49192253800898395,-0.91557666597904663,-0.70622369340312285, 0.40394564915972653, 0.21559604627028373,-0.16133090983593637,-0.48458321806906762,-0.49170229825551354,-0.17401774538728101,-0.068756736930812024,-0.028394495822813372
B*57,-0.72908610811723362,-0.93513647551941925, -1.0638378031810092,-0.30861445032110424,-0.64879880060747153,  4.0683497467832819, 0.59434880937949974,-0.63304033138716442,-0.57818347300690276,-0.37998243143423177,-0.33777713052342906, -0.7785244523145266,-0.44422067348363947,  2.2634480676140645,-0.088944493880700359
B*58,-0.59672927303850898,-0.88459489752736908,   2.447411955461007,-0.26712952255189304,-0.99887252508133617, 0.78439139943173941,  2.3836070553314443,-0.29019908914242776,-0.82959645900097334, 0.33445246552639268,-0.78801209717831078,-0.63118572092718983,-0.46057711556603026,-0.12808205612521151,-0.07488411961133154
B*67,-0.073310505648827406,-0.046427584252407166,-0.14395958506370066,-0.047585914517631583,-0.029316411051981524,-0.084854260305172874,-0.14777745936623687,-0.023206473577306059, 0.68421827892642384,-0.010550556890709835,-0.053511503777336794,-0.011214289818188289,-0.0073341727911638305,-0.0031739344550554749,-0.0019956274107051008
B*73,-0.056861438571998935,-0.064400192832662989,-0.046695103464562647,-0.12469904277231755,-0.23737412703379293,-0.14001160269463203,-0.081423672526197852,-0.020276598843866674,-0.035847684967515454,-0.014536072769059901, 0.93074902958868933,-0.074209955501617755,-0.02777318258788913,-0.0040936064929279403,-0.002546748529647226
B*78,-0.24796812454793782,-0.30673305305780846,-0.38619151168528126,-0.26912472349144384,-0.15165775438300533,-0.36608572831894604,-0.83980447870403452,-0.20238525932871065,  -0.302775800131168,-0.049869595277503419,  2.0976600811548334,  1.1466747596303475,-0.081612280613129876,-0.029124764523709341,-0.011001766722502367
B*80,0.0091389301475292978,-0.045692408011835842,-0.10372043114307918,-0.046240111162574121,-0.05886854338492177,-0.099336393694767794, 0.49624235997214394,-0.021415309060071129,-0.063774540804802465,-0.011591149445152901,-0.021579837395423036,-0.021228012861751747,-0.0094973899406210933,-0.001340965393677775,-0.0010961978209943941
INTERCEPT, 0.58571971190653838, 0.52185218125298849, 0.66458757469344187, 0.70440059628732221,-0.20538583305582261,   1.277245964711625,  1.8047893408849656,-0.17081188976038511,  1.1206252474096976, -1.0790364384518409, 0.22538233525930945,-0.093862201754481775,-0.75799443371263409, -1.9995169970270488, -2.5979951586435628
