,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18
B*35,-0.43382163930693568,-0.28865255507743631,-0.080288297321252394,  4.2006735540213187,-0.31876104062492783,-0.55491067060831523,-0.93705875147262729,-0.33069399036490987,-0.28418983737919312,-0.14735701836866139, -0.3047448143641549,-0.20279825404744098,-0.23844959013537118,-0.078947094950092819
B*37,-0.10489780170346791,-0.10874990255538815,  -0.217658710605492,-0.13263933963716881,-0.10540111613823842,  1.7338283524795348,-0.50268550487952612, -0.1122111366911637,-0.096545106990558738,-0.077059932212060978,-0.13127609907918858,-0.057947148457557211,-0.063562900586781948,-0.023193652942942355
B*38,-0.099000821321118426,-0.20388200713811311,-0.18622063634185357,-0.23493547569273926,-0.08521575193463507,-0.17381623626620368,-0.34075099663236919,-0.11087858237328754,  1.9047996349938392,-0.066748187800149142,-0.17661215760313739,-0.072219051506051388,-0.11930331417940125,-0.035216416204779888
B*39,-0.29280433797418182,-0.29292236500950197,-0.56875487115040224,-0.42036571490251939,-0.27944332469507632, -0.5080662075466732,  2.4819566654565972,-0.35666137070089021,  1.0634850833640355,-0.11741432489355864,-0.28674206047177792,-0.17474145893341048,-0.18401027668236236,-0.063515435860277872
B*40,-0.81332700166584637, 0.63041518442237976,  2.9672479009003534,-0.86311621881430001,-0.39806891416822093,-0.85239772410026082,  -1.112456853205801,-0.12616379564330096,0.029659978104493001,-0.25439949759981917,  1.2302847737818901, 0.11002425142135075,-0.39128672804165604,   -0.15641535539126
B*41,-0.15206397317143269,-0.19302153840534422, -0.2400432984250267,-0.35178573715320283,-0.15923725677483341,-0.34318179174561908,-0.062422710499561072,-0.16553903560974406,-0.30600006410513197,-0.10769909458430289,-0.16758106513554466,-0.10727952452292948,  2.4067713203358601,-0.050916230203186759
B*42,-0.05577803490962796,-0.10370421475583556, -0.0981124091752512,-0.24741820387626862,-0.11854804160129666,-0.26321225988018615,-0.36009225039787573,-0.11078293053071216,-0.084907446746848719,-0.16815861792428832,-0.092873124445056007,-0.052404803829268522,  1.8022169506591019,-0.046224612586586306
B*44,-0.77046612244220825, 0.22843040333418596,-0.46874271074481577, 0.83214330923784563,  2.8134774795892361,-0.97038361382925364,-0.29198839063641097,-0.72559781171875515, -0.7495411883396238,-0.49982568034777014,-0.64884475268945596,  2.0506789611323946,-0.58683873926289376,-0.21250114328247577
B*45,-0.33463493591351079,-0.11445551227287291,-0.32419080721318844,-0.27018310046308086,-0.077919226897144617,  2.1577926326614052,-0.36477217869957407,-0.14458899326552821,-0.10890678296457747,-0.041370222179993039,-0.11054304014672445,-0.16254221043745157,-0.073955200481911565,-0.029730421725846785
B*48,-0.40294198972451023,-0.15983302381773107,-0.29099709378348781,-0.38173339872864553,-0.12546863348424261,-0.32305875369690179,-0.47315643790708972,  3.0379790098310764,-0.23313086404715835,-0.065444645605743368, -0.2286149112859078,-0.12943998181288477,-0.18056819819998193,-0.043591077736791009
B*49,-0.25727636136302973,-0.18541766839715321,-0.31315952578717754,-0.39381773333083891,-0.15122069070041538,-0.34094922172574499,  1.3803640582237855,-0.24654974017210793, -0.3786690355159511, -0.1150979710881555,-0.17195179587836598,-0.11049171335942044,  1.3402992950325399,-0.056061895937965206
B*50,-0.058944552385803643,-0.082016235368602294,-0.076713210007814642,-0.15506811602244205,-0.072873879760433927, 0.68792347123243092, 0.34241275814530958,-0.083951387024955304,-0.18431254878857156,-0.059246573215580883,-0.072152288286822089,-0.043005935025857568,-0.11175379976279082,-0.030297703728065561
B*51, 0.89596476212930054,-0.76191175294317437,-0.032261549116882816, 0.47771377476054377,-0.75517302982027257, -1.2181306151591826, -1.1335432683661373,  0.1445206608564692,-0.68574264170546817,  1.6354076979083014,  2.3995575183780864,-0.042410464532983895,-0.63819542841601917,-0.28579566397257894
B*52,-0.22544785077449511,-0.21198251518936381,-0.31689853824448455,-0.37429823704558479,-0.17972662928904007,-0.32243035068720965,-0.031008523254694886, -0.2319708046146749,  1.7118950494947835,-0.091306263072273977, -0.1389471271050581, 0.71812179694350542,-0.25206186425691746,-0.053938142904491553
B*53,-0.21395773111078176,-0.21308202877906249,-0.25311904046725781,  1.7115206660213098,-0.17890912425269115, 0.25839114527127388, -0.6082518147866609, 0.46761124221110478,-0.21722252326280522,-0.13789126077485769,-0.18771085327026182,-0.12021249014981451,-0.23453361437156739,-0.072632572277927493
