DOF	RowCount	RowFraction	Column3	logLikelihoodRatio	Pvalue	ln(Pvalue)
1	875	0.75	1.5	31.6227766	1.82479E-15	-33.93731068
1	876	0.752	1.504	31.91537855	1.3558E-15	-34.23438308
1	877	0.754	1.508	32.21068791	1.00462E-15	-34.53416406
1	878	0.756	1.512	32.50872974	7.42374E-16	-34.83667863
1	879	0.758	1.516	32.80952931	5.47072E-16	-35.14195209
1	880	0.76	1.52	33.11311215	4.02028E-16	-35.45000994
1	881	0.762	1.524	33.419504	2.9461E-16	-35.76087791
1	882	0.764	1.528	33.72873087	2.15282E-16	-36.07458201
1	883	0.766	1.532	34.04081897	1.56865E-16	-36.39114844
1	884	0.768	1.536	34.35579479	1.13969E-16	-36.71060367
1	885	0.77	1.54	34.67368505	8.25626E-17	-37.03297442
1	886	0.772	1.544	34.9945167	5.96351E-17	-37.35828764
1	887	0.774	1.548	35.31831698	4.29468E-17	-37.68657055
1	888	0.776	1.552	35.64511334	3.08359E-17	-38.01785059
1	889	0.778	1.556	35.97493352	2.20735E-17	-38.35215549
1	890	0.78	1.56	36.30780548	1.57528E-17	-38.68951321
1	891	0.782	1.564	36.64375746	1.12075E-17	-39.02995199
1	892	0.784	1.568	36.98281798	7.94888E-18	-39.37350031
1	893	0.786	1.572	37.32501578	5.62007E-18	-39.72018694
1	894	0.788	1.576	37.6703799	3.96098E-18	-40.07004088
1	895	0.79	1.58	38.01893963	2.78275E-18	-40.42309144
1	896	0.792	1.584	38.37072455	1.9487E-18	-40.77936816
1	897	0.794	1.588	38.72576449	1.3602E-18	-41.13890089
1	898	0.796	1.592	39.08408958	9.46307E-19	-41.50171974
1	899	0.798	1.596	39.44573021	6.56178E-19	-41.86785509
1	900	0.8	1.6	39.81071706	4.53479E-19	-42.23733762
1	901	0.802	1.604	40.17908108	3.12339E-19	-42.61019827
1	902	0.804	1.608	40.55085354	2.14395E-19	-42.9864683
1	903	0.806	1.612	40.92606597	1.46659E-19	-43.36617923
1	904	0.808	1.616	41.3047502	9.99754E-20	-43.74936288
1	905	0.81	1.62	41.68693835	6.79136E-20	-44.13605136
1	906	0.812	1.624	42.07266284	4.5971E-20	-44.5262771
1	907	0.814	1.628	42.46195639	3.1007E-20	-44.92007281
1	908	0.816	1.632	42.85485204	2.08388E-20	-45.3174715
1	909	0.818	1.636	43.2513831	1.39542E-20	-45.7185065
1	910	0.82	1.64	43.65158322	9.30987E-21	-46.12321144
1	911	0.822	1.644	44.05548635	6.18834E-21	-46.53162025
1	912	0.824	1.648	44.46312675	4.09808E-21	-46.9437672
1	913	0.826	1.652	44.87453899	2.70364E-21	-47.35968685
1	914	0.828	1.656	45.28975799	1.7769E-21	-47.77941411
1	915	0.83	1.66	45.70881896	1.16335E-21	-48.20298419
1	916	0.832	1.664	46.13175746	7.58702E-22	-48.63043263
1	917	0.834	1.668	46.55860935	4.92871E-22	-49.0617953
1	918	0.836	1.672	46.98941086	3.18918E-22	-49.4971084
1	919	0.838	1.676	47.42419853	2.05539E-22	-49.93640848
1	920	0.84	1.68	47.86300923	1.31935E-22	-50.37973241
1	921	0.842	1.684	48.3058802	8.43458E-23	-50.82711741
1	922	0.844	1.688	48.75284901	5.37015E-23	-51.27860104
1	923	0.846	1.692	49.20395357	3.40497E-23	-51.73422121
1	924	0.848	1.696	49.65923215	2.14994E-23	-52.19401618
1	925	0.85	1.7	50.11872336	1.35179E-23	-52.65802457
1	926	0.852	1.704	50.5824662	8.46345E-24	-53.12628535
1	927	0.854	1.708	51.0505	5.27619E-24	-53.59883786
1	928	0.856	1.712	51.52286446	3.27501E-24	-54.07572178
1	929	0.858	1.716	51.99959965	2.02398E-24	-54.55697719
1	930	0.86	1.72	52.48074602	1.24533E-24	-55.04264452
1	931	0.862	1.724	52.96634439	7.62828E-25	-55.53276459
1	932	0.864	1.728	53.45643594	4.65177E-25	-56.02737857
1	933	0.866	1.732	53.95106225	2.82384E-25	-56.52652804
1	934	0.868	1.736	54.45026528	1.70638E-25	-57.03025495
1	935	0.87	1.74	54.95408739	1.02637E-25	-57.53860164
1	936	0.872	1.744	55.4625713	6.14477E-26	-58.05161085
1	937	0.874	1.748	55.97576015	3.66155E-26	-58.5693257
1	938	0.876	1.752	56.49369748	2.17151E-26	-59.09178973
1	939	0.878	1.756	57.01642723	1.28167E-26	-59.61904686
1	940	0.88	1.76	57.54399373	7.5282E-27	-60.15114144
1	941	0.882	1.764	58.07644175	4.40033E-27	-60.68811821
1	942	0.884	1.768	58.61381645	2.55941E-27	-61.23002233
1	943	0.886	1.772	59.15616342	1.48127E-27	-61.77689939
1	944	0.888	1.776	59.70352866	8.52998E-28	-62.32879538
1	945	0.89	1.78	60.25595861	4.88723E-28	-62.88575674
1	946	0.892	1.784	60.81350013	2.78585E-28	-63.44783031
1	947	0.894	1.788	61.37620052	1.57983E-28	-64.01506341
1	948	0.896	1.792	61.94410751	8.91258E-29	-64.58750374
1	949	0.898	1.796	62.51726928	5.00165E-29	-65.16519949
1	950	0.9	1.8	63.09573445	2.79203E-29	-65.74819926
1	951	0.902	1.804	63.67955209	1.55025E-29	-66.33655213
1	952	0.904	1.808	64.26877173	8.56124E-30	-66.93030762
1	953	0.906	1.812	64.86344335	4.70223E-30	-67.5295157
1	954	0.908	1.816	65.46361741	2.56851E-30	-68.13422682
1	955	0.91	1.82	66.0693448	1.39523E-30	-68.74449188
1	956	0.912	1.824	66.68067692	7.53663E-31	-69.36036227
1	957	0.914	1.828	67.29766563	4.0481E-31	-69.98188983
1	958	0.916	1.832	67.92036326	2.16195E-31	-70.60912691
1	959	0.918	1.836	68.54882265	1.14799E-31	-71.24212632
1	960	0.92	1.84	69.18309709	6.06044E-32	-71.88094137
1	961	0.922	1.844	69.82324041	3.18069E-32	-72.52562586
1	962	0.924	1.848	70.4693069	1.65945E-32	-73.17623409
1	963	0.926	1.852	71.12135137	8.60624E-33	-73.83282086
1	964	0.928	1.856	71.77942913	4.4365E-33	-74.49544149
1	965	0.93	1.86	72.44359601	2.27313E-33	-75.16415178
1	966	0.932	1.864	73.11390835	1.15754E-33	-75.83900809
1	967	0.934	1.868	73.79042301	5.8581E-34	-76.52006726
1	968	0.936	1.872	74.47319739	2.94617E-34	-77.20738668
1	969	0.938	1.876	75.1622894	1.47236E-34	-77.90102427
1	970	0.94	1.88	75.8577575	7.31144E-35	-78.60103848
1	971	0.942	1.884	76.55966069	3.60741E-35	-79.3074883
1	972	0.944	1.888	77.26805851	1.76835E-35	-80.02043327
1	973	0.946	1.892	77.98301105	8.61177E-36	-80.73993348
1	974	0.948	1.896	78.70457897	4.16624E-36	-81.46604958
1	975	0.95	1.9	79.43282347	2.00215E-36	-82.19884277
1	976	0.952	1.904	80.16780634	9.557E-37	-82.93837483
1	977	0.954	1.908	80.90958992	4.53099E-37	-83.68470809
1	978	0.956	1.912	81.65823714	2.13346E-37	-84.43790549
1	979	0.958	1.916	82.4138115	9.97621E-38	-85.19803053
1	980	0.96	1.92	83.17637711	4.63245E-38	-85.96514729
1	981	0.962	1.924	83.94599865	2.13595E-38	-86.73932047
1	982	0.964	1.928	84.72274141	9.77867E-39	-87.52061535
1	983	0.966	1.932	85.50667129	4.44474E-39	-88.30909781
